Title,Year,Make,Model,URL,Transmission,Mileage,Price
2012 Perodua Myvi 1.5 SE Hatchback One Owner Accident Free,2012,Perodua,Myvi,https://www.carlist.my/used-cars/2012-perodua-myvi-1-5-se-hatchback-one-owner-accident-free/4144062,Manual,82500,"RM 31,800"
(RM7600 DISCOUNT) (Highest Rebate) (Many Free Gifts) (5Yrs Warranty) (CALL NOW FOR YOUR BEST DEAL AND OFFER) NEW 2017 PERODUA MYVI 1.5 SE HATCHBACK,2017,Perodua,Myvi,https://www.carlist.my/new-cars/rm7600-discount-highest-rebate-many-free-gifts-5yrs-warranty-call-now-for-your-best-deal-and-offer-new-2017-perodua-myvi-1-5-se-hatchback/4143010,Automatic,1,"RM 45,368"
2017 Perodua Myvi 1.5 Advance (A) -- HIGHEST DISCOUNT + FREE GIFTS + FREE PREMIUM TINT --,2017,Perodua,Myvi,https://www.carlist.my/new-cars/2017-perodua-myvi-1-5-advance-a-highest-discount-free-gifts-free-premium-tint/4023278,Automatic,0,"RM 52,178"
2017 PERODUA MYVI 1.5 SE (A) -- HIGHEST DISCOUNT + FREE GIFTS + FREE PREMIUM TINT --,2017,Perodua,Myvi,https://www.carlist.my/new-cars/2017-perodua-myvi-1-5-se-a-highest-discount-free-gifts-free-premium-tint/4041993,Automatic,1,"RM 45,256"
2008 Perodua Myvi 1.3 EZi (A) 1 LADY OWNER FULL LOAN,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-ezi-a-1-lady-owner-full-loan/4155865,Automatic,97500,"RM 15,888"
2007 Perodua Myvi 1.3 EZi (A) 1 LADY OWNER FULL LOAN,2007,Perodua,Myvi,https://www.carlist.my/used-cars/2007-perodua-myvi-1-3-ezi-a-1-lady-owner-full-loan/4147854,Automatic,102500,"RM 14,888"
"(TRUE YER 2017 ADVANCE MODEL)(MILEAGE 4K KM DONE ONLY)(SPARE CAR USE ONLY)(100 PERCENT NEW CAR CONDITION)(GPS,DVD,REVERSE CAMERA,LEATHER SEAT)RMO D.PAYMENT,FULL LOAN,9YERS REPAYMENT,LOW INTEREST RATE",2017,Perodua,Myvi,https://www.carlist.my/used-cars/true-yer-2017-advance-model-mileage-4k-km-done-only-spare-car-use-only-100-percent-new-car-condition-gps-dvd-reverse-camera-leather-seat-rmo-d-payment-full-loan-9yers-repayment-low-interest-rate/3996311,Automatic,2500,"RM 45,800"
2008 Perodua Myvi 1.3 SE Hatchback,2008,Perodua,Myvi,https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-se-hatchback/4127919,Automatic,349,"RM 20,500"
2005 Perodua Myvi 1.3 EZi Hatchback (A),2005,Perodua,Myvi,https://www.carlist.my/used-cars/2005-perodua-myvi-1-3-ezi-hatchback-a/4146229,Automatic,152500,"RM 16,500"
PERODUA MYVI 1.3 (A)EZI TIP TOP 1 CAREFUL LADIES OWNER,2011,Perodua,Myvi,https://www.carlist.my/used-cars/perodua-myvi-1-3-a-ezi-tip-top-1-careful-ladies-owner/4057956,Automatic,57500,"RM 18,900"
